Cy3,150000.00,550,0.04,0.05
Cy5,250000.00,650,0.00,0.05
Alexa Fluor 488,710000.00,495,0.30,0.11
Alexa Fluor 546,104000.00,556,0.21,0.12
Alexa Fluor 555,150000.00,555,0.04,0.08
Alexa Fluor 594,73000.00,590,0.43,0.56
Alexa Fluor 647,239000.00,650,0.00,0.03
Alexa Fluor 660,132000.00,663,0.00,0.10
Cy3.5,150000.00,581,0.08,0.24
Cy5.5,250000.00,675,0.05,0.18
