Cy3,550,150000.00,0.04,0.05,
Cy5,650,250000.00,0.00,0.05,
Alexa Fluor 488,495,710000.00,0.30,0.11,
Alexa Fluor 546,556,104000.00,0.21,0.12,
Alexa Fluor 555,555,150000.00,0.04,0.08,
Alexa Fluor 594,590,73000.00,0.43,0.56,
Alexa Fluor 647,650,239000.00,0.00,0.03,
Alexa Fluor 660,663,132000.00,0.00,0.10,
Cy3.5,581,150000.00,0.08,0.24,
Cy5.5,675,250000.00,0.05,0.18,
